text,intent,dialect,source
ذكر الله,islamic_advice,Hijazi,synthetic
وين أمشي بأمان,locations,Najdi,synthetic
غداء خفيف,diet,Janoubi/Southern,synthetic
"""أهلا بيك في مشروع البحر الأحمر! صمم منتجعات فخمة ومستدامة على جزر نضيفة. وازن بين السياحة والحفاظ على الحياة البحرية. نفذ مشاريع الطاقة المتجددة وإدارة المخلفات. سوي وجهة عالمية مع الحفاظ على جمال البحر الأحمر الطبيعي.""",general,Hijazi,saudial
المعوذتين اقرأها من فضلك,quran,Hijazi,synthetic_aug
ساعدني سورة الملك قبل النوم بسرعة,quran,Najdi,synthetic_aug
قولي فيتامين د متى آخذه,medication,Najdi,synthetic_aug
رفيق تصبح على خير,general,Najdi,synthetic_aug
ساعدني معنى اسم رفيق من فضلك,conversation,Janoubi/Southern,synthetic_aug
ابغى مين صممك,conversation,Najdi,synthetic_aug
ممكن احترقت يدي,emergency,Najdi,synthetic_aug
ساعدني قراءة سورة البقرة في البيت,quran,Janoubi/Southern,synthetic_aug
قولي الجرعة الزائدة خطرها إيش,medication,Eastern,synthetic_aug
حق الجار,islamic_advice,Janoubi/Southern,synthetic
أغنية شعبية سعودية,conversation,Hijazi,synthetic
"""في الصحرا، هالنبتة علاجنا الوحيد للحرارة.""",medication,Southern,saudial
متى تكتمل ختمة القرآن,quran,Najdi,synthetic
"""سلام عليكم، يا العالم المحترم! بصفتك عضو في لجنة الفتوى للكورة، وجه المنتخب والمشجعين عن المبادئ الإسلامية في الكورة. جاوب على الأسئلة عن أوقات الصلاة وقت المباريات، والاحتفالات المناسبة، والتعامل مع الفرق غير المسلمة. وازن بين القيم الدينية وروح اللعبة. ساعد في خلي الكورة السعودية مثال للروح الرياضية الإسلامية!""",prayer_time,Najdi,saudial
احتاج صدقة جارية الحين,islamic_advice,Hijazi,synthetic_aug
"""مرحبا، يا أستاذ العطور! سوّ عطور عربية تقليدية في دكان العطارة بتاعك في جدة. جيب مكونات نادرة، واخلط روايح فريدة، وسوّ عطور خاصة للزباين أصحاب الذوق. حافظ على فن صناعة العطور اللي فرّح الأنوف من قرون.""",general,Hijazi,saudial
البوابة وين,locations,Hijazi,synthetic
قولي تمرين الصبح الساعة كم بسرعة,reminders,Najdi,synthetic_aug
علمني دعاء,islamic_advice,Eastern,synthetic
ساعدني ما أقدر أتنفس,emergency,Najdi,synthetic_aug
حكاية من الصحراء,conversation,Najdi,synthetic
قولي ذكرني بجواز السفر يا أخوي,reminders,Janoubi/Southern,synthetic_aug
يا رفيق حبوب المناعة من فضلك,medication,Najdi,synthetic_aug
ابغى دكتور نفسي وين الحين,locations,Najdi,synthetic_aug
ممكن المركز الاجتماعي الحين,locations,Najdi,synthetic_aug
أذان المغرب متى الحين,prayer_time,Eastern,synthetic_aug
ابغى وش تفكر فيه,conversation,Janoubi/Southern,synthetic_aug
يا رفيق تكلم بالعربي من فضلك,general,Eastern,synthetic_aug
قولي أقرب مركز صحي الحين,locations,Najdi,synthetic_aug
قولي وجع قلبي,emergency,Hijazi,synthetic_aug
اذكرني بصلاة المغرب,prayer_time,Eastern,synthetic
رفيق مركز التسوق القريب بسرعة,locations,Hijazi,synthetic_aug
وصلت للمنطقة وين بالضبط,locations,Najdi,synthetic
"""يمكن هالحزوز في الصخر خريطة نجوم قديمة.""",locations,Eastern,saudial
قولي أطول آية في القرآن,quran,Eastern,synthetic_aug
رفيق ذكرني أقيس الضغط الحين,reminders,Hijazi,synthetic_aug
دعاء كرب,islamic_advice,Najdi,synthetic
قولي ضربة شمس أصابتني يا أخوي,emergency,Janoubi/Southern,synthetic_aug
ابغى تساعدني هلا يا أخوي,general,Najdi,synthetic_aug
قولي الرحمة في الإسلام,islamic_advice,Najdi,synthetic_aug
وش يؤثر على فاعلية الدواء,medication,Najdi,synthetic
ساعدني وين القبلة الحين,prayer_time,Eastern,synthetic_aug
"""يلا يلا، يا بطل الوعل! جا وقت تحدي جبال عسير السنوي. انقز فوق شعبات الجبال، فلّ من القرود المشاغبة، واجمع زهور العلف السحرية. استخدم الطفرة حقتك للوصول للقمم المستحيلة، بس انتبه من النمور الماكرة! تذكر، 'الجبل يحكي والوعل يسمع'!""",reminders,Southern,saudial
الجو كيف,general,Hijazi,synthetic
قولي أحسن قارئ للقرآن شغله,quran,Eastern,synthetic_aug
رفيق الأكل بعد العملية,diet,Eastern,synthetic_aug
احتاج اقرأ آخر سورة البقرة يا أخوي,quran,Najdi,synthetic_aug
رفيق ذكرني بعيد ميلاد حفيدي,reminders,Janoubi/Southern,synthetic_aug
"""طبخ الرز واللحم على نار هادية، الضيوف بيجون قريب.""",diet,Najdi,saudial
قائمة المشتريات بسرعة,reminders,Eastern,synthetic_aug
ممكن دعاء بعد الأذان من فضلك,prayer_time,Eastern,synthetic_aug
يا رفيق ابغى أروح الحي الغربي من فضلك,locations,Eastern,synthetic_aug
ساعدني قولي شيء يريحني من فضلك,conversation,Najdi,synthetic_aug
رفيق سورة الواقعة بسرعة,quran,Najdi,synthetic_aug
تصبح على خير,general,Hijazi,synthetic
أكلة للضغط من فضلك,diet,Janoubi/Southern,synthetic_aug
"""أهلا، يا المخترع المستوحى من الطبيعة! ادرس التكيفات الفريدة للكائنات البحرية في البحر الأحمر عشان تطور حلول مبتكرة لمشاكل البشر. ابتكر مواد بناء تتحمل الملوحة، وصمم مباني موفرة للطاقة مستوحاة من المرجان، وطور علاجات طبية جديدة من الكائنات البحرية. خلي الطبيعة تكون أستاذك!""",medication,Hijazi,saudial
"""سلام، يالمحقق. حياك في الدمام 2099، وين صارت منصات النفط مباني ضخمة والجمال تحولت سايبورق. مهمتك: حل قضية 'الشيخ الذكي' المفقود. لف في الأسواق المنورة بالنيون، حقق ويا الشهود المجسمين، واكشف المؤامرات اللي فيها جن يشتغل بالطاقة الكمية. الكوفية حقتك تشتغل شاشة قدامك، والعود حقك بعد مسدس بلازما. تذكر، في المدينة هذي، حتى الرمل فيه دواير مخفية. 'لكل سر نهاية' - بس تقدر تلقاها قبل ما الهبوب الجاي يعيد تشغيل المدينة؟""",reminders,Eastern,saudial
رقم الطوارئ إيش هو,emergency,Eastern,synthetic
ممكن اقرأ آية الكرسي,quran,Najdi,synthetic_aug
احتاج حكم هذا الأمر,islamic_advice,Hijazi,synthetic_aug
الأدوية مع السفر كيف أنظمها,medication,Najdi,synthetic
أعد ما قلته يا أخوي,general,Najdi,synthetic_aug
أحكام التجويد يا أخوي,quran,Hijazi,synthetic_aug
"""جهزوا ألواح الهوفربورد لسباق جدة الكورنيش الكبير! طيروا جنب المسجد العايم، لفوا بين البوابات المجسمة، وسووا حركات بهلوانية لنقاط زيادة. بس خلوا بالكم من الدلافين الشقية - تحب تنط جنب المتسابقين!""",locations,Hijazi,saudial
رفيق الدواء قبل الأكل ولا بعده من فضلك,medication,Eastern,synthetic_aug
"""نسابق الوقت! نقدر نلقى الباسبور الضايع قبل طيارة الحج؟""",islamic_advice,Eastern,saudial
يا رفيق عندي حادث من فضلك,emergency,Janoubi/Southern,synthetic_aug
احتاج روح جيب الدكتور بسرعة من فضلك,emergency,Eastern,synthetic_aug
تقضى الصلاة الفائتة كيف الحين,prayer_time,Hijazi,synthetic_aug
يا رفيق اضبط منبه بكرة الفجر بسرعة,reminders,Janoubi/Southern,synthetic_aug
"""المنطقة الآمنة تضيق! روح برج المملكة عشان تاخذ ميزة المكان العالي!""",locations,Najdi,saudial
رفيق المركز الاجتماعي يا أخوي,locations,Najdi,synthetic_aug
احتاج ممنوع عليّ آكل إيش,diet,Eastern,synthetic_aug
"""فك لغز الحرام هذا هو المفتاح لبداية حجنا الافتراضي!""",islamic_advice,Eastern,saudial
قولي نسيت دوائي في السفر,medication,Hijazi,synthetic_aug
يا رفيق ابعث إسعاف على طول الحين,emergency,Eastern,synthetic_aug
"""هلا، يا عبقري تقنية البترول! طبق حلول الذكاء الاصطناعي والإنترنت عشان تحسن إنتاج النفط في المنطقة الشرقية. استخدم الصيانة التنبؤية والمراقبة اللحظية وتقنيات الحفر الذكية. زود الكفاءة وقلل الأثر البيئي. خل السعودية تضل في مقدمة سوق الطاقة العالمي!""",locations,Eastern,saudial
قولي احتياج نقل فوري للمستشفى بسرعة,emergency,Janoubi/Southern,synthetic_aug
ساعدني أنا خايف بسرعة ساعدني,emergency,Janoubi/Southern,synthetic_aug
ساعدني نبهني الساعة سبعة الصبح يا أخوي,reminders,Eastern,synthetic_aug
رفيق الجمعة الساعة كم,prayer_time,Najdi,synthetic_aug
يا رفيق قولي شيء يضحكني من فضلك,conversation,Najdi,synthetic_aug
يا رفيق حكاية من الصحراء الحين,conversation,Eastern,synthetic_aug
رفيق دمي ما يوقف الحين,emergency,Najdi,synthetic_aug
"""أهلا بيكم في أطول مزرعة عمودية في العالم! مهمتك: تزرع محاصيل من مستوى البحر للستراتوسفير في برج جدة. وازن بين ضوء الشمس وضغط المية والجاذبية الصناعية عشان تزرع كل حاجة من الطحالب البحرية لتوت السحاب. بس خلي بالك من المعيز اللي بتتحدى الجاذبية - بتاكل أي حاجة، حتى على ارتفاع 3000 قدم!""",general,Hijazi,saudial
"""سلام عليكم، يا إستراتيجي الكورة! حط نفسك مكان مدرب المنتخب السعودي باستخدام الواقع الافتراضي المتطور. حلل بيانات المباراة ثلاثية الأبعاد على طول، واتخذ قرارات تكتيكية، وشوف تأثيرها على طول في المحاكاة الافتراضية. تفوق على خطط الخصوم المدعومة بالذكاء الاصطناعي وقود السعودية لمجد كاس العالم الافتراضي!""",locations,Najdi,saudial
ممكن إلى اللقاء,general,Janoubi/Southern,synthetic_aug
ممكن حديقة عامة قريبة,locations,Najdi,synthetic_aug
فيتامين د متى آخذه,medication,Hijazi,synthetic
الصيدلية فتحانة الحين,locations,Hijazi,synthetic
قولي صلاة الاستسقاء متى بسرعة,prayer_time,Hijazi,synthetic_aug
موقع الرياض إيش مرجع,locations,Hijazi,synthetic
رفيق أكل يقلل الكوليسترول من فضلك,diet,Eastern,synthetic_aug
فطور صحي ايش آكل,diet,Janoubi/Southern,synthetic
"""بسم الله، يالحكم المحترم! حياك في مسابقة جمال الهجن الملكية. قيّم المحاجيج، وقدّر الشداد، وشف المزاحيم. بس انتبه - 'ماشاء الله' في غير محلها ممكن تسبب هوشة بين ملّاك الهجن. خل جدودك يفتخرون فيك، يا ولد الحلال!""",quran,Najdi,saudial
أخبار اليوم,conversation,Hijazi,synthetic
شكراً رفيق,conversation,Janoubi/Southern,synthetic
طحت ما أقدر أقوم من فضلك,emergency,Eastern,synthetic_aug
وين أقرب مستشفى طوارئ,emergency,Najdi,synthetic
قولي تراث نجدي يا أخوي,conversation,Eastern,synthetic_aug
ممنون بسرعة,general,Najdi,synthetic_aug
احتاج ابغى اعرف وقت الظهر,prayer_time,Eastern,synthetic_aug
ساعدني اليوم كم بسرعة,general,Eastern,synthetic_aug
يا رفيق ذكرني بعيد ميلاد حفيدي بسرعة,reminders,Najdi,synthetic_aug
ابغى دعاء قبل النوم يا أخوي,islamic_advice,Najdi,synthetic_aug
معلومة ممتعة,conversation,Najdi,synthetic
السلام عليكم,general,Janoubi/Southern,synthetic
ممكن زيارة المريض سنة يا أخوي,islamic_advice,Hijazi,synthetic_aug
ناسي أخذ الدواء الصبح,medication,Hijazi,synthetic
احتاج ذكرني بصلاة الفجر يا أخوي,prayer_time,Najdi,synthetic_aug
موعد مع الدكتور الثلاثاء الحين,reminders,Hijazi,synthetic_aug
محتاج أشتري دواء,medication,Hijazi,synthetic
ابغى وقعت من السلم,emergency,Najdi,synthetic_aug
ربع القرآن الأول,quran,Najdi,synthetic
يا رفيق كم صفحة باليوم للختمة,quran,Janoubi/Southern,synthetic_aug
سمك أسبوعياً كم مرة,diet,Hijazi,synthetic
قولي ما أحس بقدمي الحين,emergency,Janoubi/Southern,synthetic_aug
"""كل عيد، حزاوي حبوبتي تصير أصعب!""",medication,Southern,saudial
"""حياك الله في نزل عسير البيئي! شغلتك: تدل السياح، وتحمي النمر العربي المهدد، وتحافظ على نظافة غابات العرعر القديمة. ولا تنسى تعلم ناس المدينة كيف يسوون قهوة خولاني!""",reminders,Southern,saudial
ذكرني بالدواء,medication,Najdi,synthetic
أنا وحيد,conversation,Hijazi,synthetic
إيش يقال بعد الأذان,prayer_time,Hijazi,synthetic
سورة ياسين,quran,Eastern,synthetic
سبحة الذكر بعد الصلاة,prayer_time,Najdi,synthetic
ابغى وين القبلة,prayer_time,Najdi,synthetic_aug
ساعدني حساء الدجاج فيه كالوري كم من فضلك,diet,Hijazi,synthetic_aug
ابغى ذكرني بقراءة القرآن بعد الفجر من فضلك,reminders,Janoubi/Southern,synthetic_aug
ساعدني وضّح لي يا أخوي,general,Eastern,synthetic_aug
فضل صلة الرحم,islamic_advice,Hijazi,synthetic
أخصائي عظام,locations,Eastern,synthetic
ابغى تساعدني ذكرني بأذكار المساء الحين,reminders,Janoubi/Southern,synthetic_aug
ذكرني أقيس الضغط بسرعة,reminders,Hijazi,synthetic_aug
ابغى أجر الصبر على المرض,islamic_advice,Eastern,synthetic_aug
ابغى تساعدني كمية الملح اليومية الحين,diet,Hijazi,synthetic_aug
احتاج وصلت للمنطقة وين بالضبط بسرعة,locations,Hijazi,synthetic_aug
رفيق شغل القرآن برتابة هادئة بسرعة,quran,Najdi,synthetic_aug
"""يا ربعي! علامة الضرب تبين المكان على خريطة الكنز ذي!""",locations,Najdi,saudial
لا حول ولا قوة إلا بالله,islamic_advice,Najdi,synthetic
ساعدني أهلاً وسهلاً,general,Janoubi/Southern,synthetic_aug
احتاج حكاية جدة,conversation,Najdi,synthetic_aug
حكاية قديمة,conversation,Najdi,synthetic
ذكرني بكل أدويتي الحين,medication,Najdi,synthetic_aug
ابغى حلو صحي بدون سكر,diet,Janoubi/Southern,synthetic_aug
"""سلام عليكم، يا حامي الصحرا! علم أهل المدن طرق البدو القديمة للبقاء في الصحرا. ورّيهم كيف يلقون الماي، ويتنقلون بالنجوم، ويبنون ملجأ من العناصر. اخلط الحكمة القديمة مع طرق السلامة الحديثة عشان يتغلبون على بيئة الصحرا القاسية.""",islamic_advice,Najdi,saudial
طارئ طارئ محتاج مساعدة,emergency,Eastern,synthetic
رفيق دعاء للمريض,islamic_advice,Eastern,synthetic_aug
صلاة الوتر متى من فضلك,prayer_time,Hijazi,synthetic_aug
رجيم مناسب لي الحين,diet,Najdi,synthetic_aug
احتاج ذكرني بمتابعة الطبيب,reminders,Najdi,synthetic_aug
أقصر سورة,quran,Eastern,synthetic
رفيق اقرأ آخر سورة البقرة يا أخوي,quran,Hijazi,synthetic_aug
ساعدني كمية الملح اليومية من فضلك,diet,Eastern,synthetic_aug
شغّل أذان مكة,prayer_time,Najdi,synthetic
ابغى تساعدني ضغطي عالي,emergency,Najdi,synthetic_aug
ساعدني المضاد الحيوي انتهيت منه الحين,medication,Eastern,synthetic_aug
ممكن حدثني عن نفسك الحين,conversation,Eastern,synthetic_aug
كم ركعة صلاة الظهر,prayer_time,Eastern,synthetic
يا رفيق جوعان وش فيه من فضلك,diet,Hijazi,synthetic_aug
وقعت من السلم,emergency,Eastern,synthetic
ساعدني مين صممك,conversation,Janoubi/Southern,synthetic_aug
"""يا ويلنا، يا ويلنا! عندنا مشكلة في منصة السفانية. الذكاء الاصطناعي للحفر خرّف وصرنا في خطر الانفجار. اقلب النظام يدوي، بس انتبه زين - غلطة وحدة وبنسبح في الزيت الأسود، ومو بالطريقة الزينة!""",emergency,Eastern,saudial
ممكن سورة ياسين بسرعة,quran,Hijazi,synthetic_aug
قولي دواء ضد الحموضة بسرعة,medication,Eastern,synthetic_aug
ابغى طبيب الأطفال وين يا أخوي,locations,Najdi,synthetic_aug
يا رفيق الحبوب هذي كم حبة باليوم من فضلك,medication,Hijazi,synthetic_aug
مساء الخير من فضلك,general,Janoubi/Southern,synthetic_aug
قولي كيف أصلي صلاة الجمعة يا أخوي,prayer_time,Najdi,synthetic_aug
"""الفقع جاهز للجمع. تذكر، الجمع بعقل يخلي تقاليدنا حية.""",reminders,Southern,saudial
"""سلام، يا مهندس البيئة! قود مشروع يحول جزء من الربع الخالي لواحة يعيش فيها الناس. استخدم أحدث التقنيات عشان تدير موارد المية، وتسوي أنظمة بيئية تدوم، وتبني بيوت متحكم في جوها. وازن بين تأثير البيئة واحتياجات الناس. خل الصحرا تصير خضرا!""",quran,Najdi,saudial
يا رفيق تفهم العامية السعودية من فضلك,general,Janoubi/Southern,synthetic_aug
احتاج كاب ماء كافي,diet,Najdi,synthetic_aug
وين أقرب مطعم حلال,locations,Janoubi/Southern,synthetic
طحت ما أقدر أقوم,emergency,Hijazi,synthetic
عندي موعد الساعة ثلاثة,reminders,Janoubi/Southern,synthetic
تشنجت الحين,emergency,Janoubi/Southern,synthetic_aug
قولي ايش كان أجدادنا يعملون,conversation,Hijazi,synthetic_aug
باي,general,Hijazi,synthetic
ممكن فعّل التنبيهات بسرعة,reminders,Najdi,synthetic_aug
مسكن للألم,medication,Eastern,synthetic
"""يلا، انقز في آلة الزمن! اليوم بنذوق جريش من 500 سنة. انتبه من البهارات - يمكن تكون قوية لدرجة ترجعك للمستقبل بدون الآلة!""",prayer_time,Najdi,saudial
ساعدني الدكتور كتب لي دواء ما أعرفه بسرعة,medication,Janoubi/Southern,synthetic_aug
ابغى تساعدني وين المستشفى,locations,Eastern,synthetic_aug
عندي حادث من فضلك,emergency,Hijazi,synthetic_aug
فيه حريق,emergency,Janoubi/Southern,synthetic
الدواء والأكل الفترة بينهم,medication,Najdi,synthetic
وش تفكر فيه,conversation,Hijazi,synthetic
احتاج الدواء هذا خلاص خلص,medication,Hijazi,synthetic_aug
دعاء السفر,islamic_advice,Janoubi/Southern,synthetic
يا رفيق قدراتك إيش,general,Eastern,synthetic_aug
ساعدني عصير طبيعي للضغط الحين,diet,Eastern,synthetic_aug
ممكن فيتامين د متى آخذه بسرعة,medication,Eastern,synthetic_aug
وقت الصلاة في الرياض,prayer_time,Najdi,synthetic
"""رتب التمر حسب حجمه، الكبير يجيب سعر أعلى.""",islamic_advice,Southern,saudial
ابغى قولي شيء يريحني الحين,conversation,Eastern,synthetic_aug
هل أصلي استخارة,islamic_advice,Janoubi/Southern,synthetic
قولي تعبت قل لي شيء يريحني يا أخوي,general,Janoubi/Southern,synthetic_aug
الكهرباء أصابتني الحين,emergency,Najdi,synthetic_aug
تاريخ اليوم,general,Hijazi,synthetic
يا رفيق ابغى أضحك بسرعة,conversation,Hijazi,synthetic_aug
اليوم إيش الحين,general,Eastern,synthetic_aug
ابغى خطة غذاء,diet,Najdi,synthetic
طعام يقوي القلب,diet,Hijazi,synthetic
"""البدو يقولوا، هالرمال تذكر كل حافر مر.""",reminders,Hijazi,saudial
"""علم الأنقاض هذي على الخريطة، ممكن تكون مهمة.""",locations,Eastern,saudial
ابغى تساعدني هل هذا الدواء مناسب لي,medication,Hijazi,synthetic_aug
يا رفيق قصة ملك سعودي من فضلك,conversation,Hijazi,synthetic_aug
يا رفيق ارفع الصوت بسرعة,quran,Hijazi,synthetic_aug
دعاء لولدي,islamic_advice,Eastern,synthetic
"""شوف وقفتها؛ واقفة مثل الملكة.""",quran,Southern,saudial
ابغى تساعدني رفيق شكراً جزيلاً من فضلك,general,Najdi,synthetic_aug
الإمساك وش يساعد,diet,Najdi,synthetic
بيت شعر عن الأمل,conversation,Hijazi,synthetic
ساعدني وقت صلاة المغرب اليوم,prayer_time,Janoubi/Southern,synthetic_aug
ابغى تساعدني تعبت من الصمت,conversation,Hijazi,synthetic_aug
كيف حالك يا أخوي,general,Janoubi/Southern,synthetic_aug
طبخة للمريض بسرعة,diet,Janoubi/Southern,synthetic_aug
من يستخدم رفيق,conversation,Najdi,synthetic
مساء الخير يا أخوي,general,Hijazi,synthetic_aug
دعاء بعد الأذان,prayer_time,Najdi,synthetic
ابغى أتعلم شيء جديد الحين,conversation,Hijazi,synthetic_aug
حكم هذا الأمر,islamic_advice,Najdi,synthetic
ناسي أخذ الدواء الصبح يا أخوي,medication,Najdi,synthetic_aug
"""المطر جاي بدري السنة. لازم نقوي المساطب ونزرع محاصيل تتحمل الجفاف. جدودنا زرعوا في الجبال هذي مئات السنين - حنا بعد بنتأقلم ونعيش.""",prayer_time,Southern,saudial
كسرت رجلي,emergency,Janoubi/Southern,synthetic
دواء صنعة طبيعية,medication,Janoubi/Southern,synthetic
اقرأ آخر سورة البقرة,quran,Najdi,synthetic
الإفطار الصحي رمضان بسرعة,diet,Najdi,synthetic_aug
لا تنساني بالدواء,reminders,Hijazi,synthetic
الكشف الدوري موعده يا أخوي,reminders,Eastern,synthetic_aug
ابغى كيف أحفظ الأنسولين من فضلك,medication,Najdi,synthetic_aug
صلاة التهجد متى,prayer_time,Najdi,synthetic
"""النحل سوى بيوته فوق في صخور الجبال. بنستخدم طرق التسلق بالحبال حقت جدودنا عشان نوصلها. افتكر، دخن النحل بشويش - حنا ضيوف في الرقصة القديمة ذي حق الجني.""",conversation,Southern,saudial
"""مرحبا، يا دليل الصحرا! قود أهل المدن في تجربة بدوية أصيلة في صحرا النفود. علمهم الطرق القديمة للتنقل والتعامل مع الهجن ومهارات العيش. احكِ لهم السوالف القديمة تحت النجوم. ساعد الزوار يتواصلون مع تراث البدو في قلب المملكة!""",general,Najdi,saudial
نكتة,conversation,Najdi,synthetic
ساعدني أوميغا 3 مع الأكل,medication,Najdi,synthetic_aug
قولي أخصائي عظام الحين,locations,Najdi,synthetic_aug
"""أهلا بيك يا فنان صاحب الرؤية! جدران جدة هي لوحتك، وفنك حيولع نهضة ثقافية. خطط للجداريات بتاعتك، تفادى المسؤولين المتحمسين زيادة، وألهم الجيل الجاي. افتكر، في اللعبة دي، فرشاتك أقوى من السيف!""",general,Hijazi,saudial
الموز مسموح أكله,diet,Najdi,synthetic
الكهرباء أصابتني,emergency,Hijazi,synthetic
قولي أسنانها مقفولة بسرعة,emergency,Janoubi/Southern,synthetic_aug
هل تعرف الحجازي,general,Hijazi,synthetic
قولي ذكرني أشتري الدواء,reminders,Eastern,synthetic_aug
يا رفيق وش يؤثر على فاعلية الدواء الحين,medication,Hijazi,synthetic_aug
ساعدني كم ركعة صلاة الظهر,prayer_time,Hijazi,synthetic_aug
عادات الكبار بالسعودية من فضلك,conversation,Hijazi,synthetic_aug
سورة الرحمن يا أخوي,quran,Eastern,synthetic_aug
وين رقم الإسعاف من فضلك,emergency,Janoubi/Southern,synthetic_aug
احتاج جوعان وش فيه يا أخوي,diet,Hijazi,synthetic_aug
وجع قلبي,emergency,Hijazi,synthetic
ممكن ممكن تساعدني,general,Eastern,synthetic_aug
رفيق البوابة وين,locations,Janoubi/Southern,synthetic_aug
"""رجعنا 500 سنة ورا! بسرعة، ساعد الفلاحين يسوون نظام الري القديم 'الفلج'!""",prayer_time,Eastern,saudial
صلاة الاستخارة بسرعة,islamic_advice,Hijazi,synthetic_aug
قولي دلني على الصيدلية من فضلك,locations,Najdi,synthetic_aug
رفيق الصوت واطي ارفع,general,Janoubi/Southern,synthetic_aug
"""انتبه! درونات الشركات تفحص المكان. استخدم جهاز الإخفاء السايبر حقك عشان ما ينكشف وجودك.""",locations,Najdi,saudial
